"seq","gubun","confCase","confCaseRate","death","deathRate","criticalRate","createDt","updateDt"
1,"남성",3905,"39.9",82,"50.62","2.1","2020-04-02 19:02:48.48",
2,"여성",5881,"60.1",80,"49.38","1.36","2020-04-02 19:02:48.48",
3,"80 이상",442,"4.52",82,"50.62","18.55","2020-04-02 19:02:48.48",
4,"70-79",651,"6.65",46,"28.4","7.07","2020-04-02 19:02:48.48",
5,"60-69",1235,"12.62",22,"13.58","1.78","2020-04-02 19:02:48.48",
6,"50-59",1851,"18.91",10,"6.17","0.54","2020-04-02 19:02:48.48",
7,"40-49",1312,"13.41",1,"0.62","0.08","2020-04-02 19:02:48.48",
8,"30-39",1012,"10.34",1,"0.62","0.1","2020-04-02 19:02:48.48",
9,"20-29",2656,"27.14",,,,"2020-04-02 19:02:48.48",
10,"10-19",515,"5.26",,,,"2020-04-02 19:02:48.48",
11,"0-9",112,"1.14",,,,"2020-04-02 19:02:48.48",
12,"남성",4138,"40.05",101,"52.60","2.44","2020-04-07 19:32:08.08",
13,"여성",6193,"59.95",91,"47.40","1.47","2020-04-07 19:32:08.08",
14,"80 이상",466,"4.51",93,"48.44","19.96","2020-04-07 19:32:08.08",
15,"70-79",689,"6.67",57,"29.69","8.27","2020-04-07 19:32:08.08",
16,"60-69",1304,"12.62",26,"13.54","1.99","2020-04-07 19:32:08.08",
17,"50-59",1909,"18.48",13,"6.77","0.68","2020-04-07 19:32:08.08",
18,"40-49",1382,"13.38",2,"1.04","0.14","2020-04-07 19:32:08.08",
19,"30-39",1092,"10.57",1,"0.52","0.09","2020-04-07 19:32:08.08",
20,"20-29",2819,"27.29",,,,"2020-04-07 19:32:08.08",
21,"10-19",544,"5.27",,,,"2020-04-07 19:32:08.08",
22,"0-9",126,"1.22",,,,"2020-04-07 19:32:08.08",
23,"0-11",1,"1",1,"1","1","2020-04-07 20:10:50.50",
24,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 10:55:38.38",
25,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 10:55:38.38",
26,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 10:55:38.38",
27,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 10:55:38.38",
28,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 10:55:38.38",
29,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 10:55:38.38",
30,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 10:55:38.38",
31,"30-39",1102,"10.61",1,"0.50","0.09","2020-04-08 10:55:38.38",
32,"20-29",2832,"27.27",,"0.00",,"2020-04-08 10:55:38.38",
33,"10-19",548,"5.28",,"0.00",,"2020-04-08 10:55:38.38",
34,"0-9",126,"1.21",,"0.00",,"2020-04-08 10:55:38.38",
35,"남성",4163,"40.09",106,"53","2.55","2020-04-08 10:56:57.57",
36,"여성",6221,"59.91",94,"47","1.51","2020-04-08 10:56:57.57",
37,"80 이상",470,"4.53",96,"48","20.43","2020-04-08 10:56:57.57",
38,"70-79",692,"6.66",60,"30","8.67","2020-04-08 10:56:57.57",
39,"60-69",1312,"12.63",27,"13.5","2.06","2020-04-08 10:56:57.57",
40,"50-59",1915,"18.44",13,"6.5","0.68","2020-04-08 10:56:57.57",
41,"40-49",1387,"13.36",3,"1.5","0.22","2020-04-08 10:56:57.57",
42,"30-39",1102,"10.61",1,"0.5","0.09","2020-04-08 10:56:57.57",
43,"20-29",2832,"27.27",,,,"2020-04-08 10:56:57.57",
44,"10-19",548,"5.28",,,,"2020-04-08 10:56:57.57",
45,"0-9",126,"1.21",,,,"2020-04-08 10:56:57.57",
46,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 10:58:36.36",
47,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 10:58:36.36",
48,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 10:58:36.36",
49,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 10:58:36.36",
50,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 10:58:36.36",
51,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 10:58:36.36",
52,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 10:58:36.36",
53,"30-39",1102,"10.61",1,"0.50","0.09","2020-04-08 10:58:36.36",
54,"20-29",2832,"27.27",,"0.00",,"2020-04-08 10:58:36.36",
55,"10-19",548,"5.28",,"0.00",,"2020-04-08 10:58:36.36",
56,"0-9",126,"1.21",,"0.00",,"2020-04-08 10:58:36.36",
58,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 11:33:25.25",
59,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 11:33:25.25",
60,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 11:33:25.25",
61,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 11:33:25.25",
62,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 11:33:25.25",
63,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 11:33:25.25",
64,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 11:33:25.25",
65,"30-39",1102,"10.61",1,"0.50","0.09","2020-04-08 11:33:25.25",
66,"20-29",2832,"27.27",,"0.00",,"2020-04-08 11:33:25.25",
67,"10-19",548,"5.28",,"0.00",,"2020-04-08 11:33:25.25",
68,"0-9",126,"1.21",,"0.00",,"2020-04-08 11:33:25.25",
69,"남성",4163,"40.09",106,"53.00","2.55","2020-04-08 11:34:40.40",
70,"여성",6221,"59.91",94,"47.00","1.51","2020-04-08 11:34:40.40",
71,"80 이상",470,"4.53",96,"48.00","20.43","2020-04-08 11:34:40.40",
72,"70-79",692,"6.66",60,"30.00","8.67","2020-04-08 11:34:40.40",
73,"60-69",1312,"12.63",27,"13.50","2.06","2020-04-08 11:34:40.40",
74,"50-59",1915,"18.44",13,"6.50","0.68","2020-04-08 11:34:40.40",
75,"40-49",1387,"13.36",3,"1.50","0.22","2020-04-08 11:34:40.40",
