"seq","stateDt","stateTime","decideCnt","clearCnt","examCnt","deathCnt","careCnt","resutlNegCnt","accExamCnt","accExamCompCnt","accDefRate","createDt","updateDt"
1,"20200101","18:00",,1,1,,,,,,,"2020-01-31 17:47:33.33","2020-02-03 12:21:56.56"
2,"20200202","09:00",2,2,2,2,,,,,,"2020-02-03 12:22:49.49",
3,"20200203","09:00",15,,,,,,,,,"2020-02-03 14:41:17.17","2020-02-04 14:19:46.46"
4,"20200204","00:00",,,,,,,,,,"2020-02-03 21:26:59.59",
5,"20200205","09:00",18,,129,,,,,,,"2020-02-04 23:56:31.31","2020-02-05 9:43:16.16"
6,"20200205","19:00",19,1,40,,,,,,,"2020-02-05 20:05:40.40","2020-02-06 10:05:36.36"
7,"20200206","09:00",23,1,169,,,,,,,"2020-02-06 9:09:49.49","2020-02-06 10:04:35.35"
8,"20200207","09:00",24,2,264,,,,,,,"2020-02-07 9:53:27.27","2020-02-07 11:44:30.30"
9,"20200207","16:00",24,2,327,,,,,,,"2020-02-07 17:20:45.45",
10,"20200208","09:00",24,2,620,,,,,,,"2020-02-08 10:09:34.34",
11,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 16:00:22.22",
12,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 16:48:05.05",
13,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 17:01:12.12",
14,"20200208","16:00",24,2,939,,,,,,,"2020-02-08 17:01:34.34",
15,"20200209","09:00",25,3,960,,,,,,,"2020-02-09 9:58:22.22","2020-02-09 11:08:56.56"
16,"20200209","16:00",27,3,888,,,,,,,"2020-02-09 16:59:21.21",
17,"20200210","09:00",27,3,809,,,,,,,"2020-02-10 9:56:41.41",
18,"20200210","16:00",27,3,531,,,,,,,"2020-02-10 17:03:49.49","2020-02-10 19:04:27.27"
19,"20200211","09:00",28,4,865,,,,,,,"2020-02-11 9:50:10.10",
20,"20200211","16:00",28,4,762,,,,,,,"2020-02-11 17:09:25.25",
21,"20200212","09:00",28,4,992,,,,,,,"2020-02-12 10:05:49.49",
22,"20200212","16:00",28,7,785,,,,,,,"2020-02-12 16:56:47.47",
23,"20200213","09:00",28,7,670,,,,,,,"2020-02-13 9:50:45.45",
24,"20200213","16:00",28,7,562,,,,,,,"2020-02-13 17:09:07.07",
25,"20200214","09:00",28,7,692,,,,,,,"2020-02-14 9:50:49.49",
26,"20200214","16:00",28,7,535,,,,,,,"2020-02-14 17:16:19.19",
27,"20200215","09:00",28,7,638,,,,,,,"2020-02-15 10:00:11.11",
28,"20200215","16:00",28,9,558,,,,,,,"2020-02-15 17:00:21.21",
29,"20200216","09:00",29,9,577,,,,,,,"2020-02-16 10:04:04.04",
30,"20200216","16:00",29,9,485,,,,,,,"2020-02-16 16:57:02.02",
31,"20200217","09:00",30,9,408,,,,,,,"2020-02-17 9:53:13.13",
32,"20200217","16:00",30,10,708,,,,,,,"2020-02-17 16:50:47.47",
33,"20200218","09:00",31,10,957,,,,,,,"2020-02-18 10:04:38.38",
34,"20200218","09:00",31,10,957,,,,,,,"2020-02-18 10:05:31.31",
35,"20200218","16:00",31,12,818,,,,,,,"2020-02-18 16:42:00.00",
36,"20200219","09:00",46,12,1030,,,,,,,"2020-02-19 9:53:08.08",
37,"20200219","16:00",51,16,1149,,,,,,,"2020-02-19 17:00:13.13",
38,"20200220","09:00",82,16,1633,,,,,,,"2020-02-20 10:01:31.31",
39,"20200220","16:00",104,16,1860,1,,,,,,"2020-02-20 17:12:33.33",
40,"20200221","09:00",156,16,2707,1,,,,,,"2020-02-21 9:58:51.51",
41,"20200221","16:00",204,17,3180,1,,,,,,"2020-02-21 17:12:33.33",
42,"20200221","16:00",204,17,3180,1,,,,,,"2020-02-21 17:13:21.21",
43,"20200222","09:00",346,17,5481,2,,,,,,"2020-02-22 9:59:46.46",
44,"20200222","16:00",433,18,6037,2,,,,,,"2020-02-22 17:00:28.28",
45,"20200223","09:00",556,18,6039,4,,,,,,"2020-02-23 10:22:25.25",
46,"20200223","16:00",602,18,8057,5,,,,,,"2020-02-23 17:05:12.12",
47,"20200224","09:00",763,18,8725,7,,,,,,"2020-02-24 10:17:36.36",
48,"20200224","16:00",833,22,11631,7,,,,,,"2020-02-24 17:03:50.50",
49,"20200225","09:00",893,22,13273,8,,,,,,"2020-02-25 10:00:40.40",
50,"20200225","16:00",977,22,13880,10,,,,,,"2020-02-25 17:02:03.03",
51,"20200226","09:00",1146,22,16734,11,,,,,,"2020-02-26 10:02:05.05",
52,"20200226","16:00",1261,24,20716,12,,,,,,"2020-02-26 17:00:43.43",
53,"20200227","09:00",1595,24,21097,12,,,,,,"2020-02-27 10:19:35.35",
54,"20200227","16:00",1766,26,25568,13,,,,,,"2020-02-27 17:32:06.06",
55,"20200228","09:00",2022,26,24751,13,,,,,,"2020-02-28 10:32:34.34","2020-02-28 13:34:23.23"
56,"20200228","16:00",2337,27,30237,13,,,,,,"2020-02-28 17:01:59.59",
57,"20200229","09:00",2931,27,29154,16,,,,,,"2020-02-29 10:14:50.50",
58,"20200229","16:00",3150,28,35182,17,,,,,,"2020-02-29 17:16:20.20","2020-02-29 18:02:17.17"
59,"20200301","09:00",3526,30,32422,17,,,,,,"2020-03-01 10:06:32.32",
60,"20200301","16:00",3736,30,33360,18,,,,,,"2020-03-01 17:41:45.45",
61,"20200302","00:00",4212,31,33799,22,4159,71580,109591,75792,"5.5573147561","2020-03-02 10:52:38.38","2020-03-09 14:08:51.51"
62,"20200303","00:00",4812,34,35555,28,4750,85484,125851,90296,"5.3291397182","2020-03-03 10:46:53.53","2020-03-09 14:08:12.12"
63,"20200304","00:00",5328,41,28414,32,5255,102965,136707,108293,"4.9199855946","2020-03-04 10:21:44.44","2020-03-09 14:06:59.59"
64,"20200305","00:00",5766,88,21810,35,5643,118965,146541,124731,"4.6227481540","2020-03-05 10:15:12.12","2020-03-09 14:06:01.01"
65,"20200306","00:00",6284,108,21832,42,6134,136624,164740,142908,"4.3972345844","2020-03-06 12:55:44.44","2020-03-09 14:05:01.01"
66,"20200307","00:00",6767,118,19620,44,6605,151802,178189,158569,"4.2675428362","2020-03-07 11:00:45.45","2020-03-09 13:36:26.26"
67,"20200308","00:00",7134,130,19376,50,6954,162008,188518,169142,"4.2177578602","2020-03-08 11:16:27.27","2020-03-09 13:35:51.51"
68,"20200309","00:00",7382,166,17458,51,7165,171778,196618,179160,"4.1203393614","2020-03-09 10:47:15.15","2020-03-09 13:29:59.59"
69,"20200310","00:00",7513,247,18452,54,7212,184179,210144,191692,"3.9193080566","2020-03-10 10:20:27.27",
70,"20200311","00:00",7755,288,18540,60,7407,196100,222395,203855,"3.8041745358","2020-03-11 10:17:19.19",
71,"20200312","00:00",7869,333,17727,66,7470,209402,234998,217271,"3.6217442732","2020-03-12 10:37:03.03",
72,"20200313","00:00",7979,510,17940,67,7402,222728,248647,230707,"3.4584993086","2020-03-13 10:07:22.22",
73,"20200314","00:00",8086,714,17634,72,7300,235615,261335,243701,"3.3180003364","2020-03-14 10:29:11.11","2020-03-14 10:34:07.07"
74,"20200315","00:00",8162,834,16272,75,7253,243778,268212,251940,"3.2396602365","2020-03-15 10:01:22.22",
75,"20200316","00:00",8236,1137,14971,75,7024,251297,274504,259533,"3.1733922083","2020-03-16 10:12:33.33",
76,"20200317","00:00",8320,1401,17291,81,6838,261105,286716,269425,"3.0880579010","2020-03-17 10:29:38.38",
77,"20200318","00:00",8413,1540,16346,84,6789,270888,295647,279301,"3.0121625056","2020-03-18 10:26:15.15",
78,"20200319","00:00",8565,1947,15904,91,6527,282555,307024,291120,"2.9420857378","2020-03-19 10:07:57.57",
79,"20200320","00:00",8652,2233,15525,94,6325,292487,316664,301139,"2.8730918280","2020-03-20 10:15:59.59",
80,"20200321","00:00",8799,2612,15704,102,6085,303006,327509,311805,"2.8219560302","2020-03-21 10:02:58.58",
81,"20200322","00:00",8897,2909,14540,104,5884,308343,331780,317240,"2.8045013239","2020-03-22 10:07:28.28",
82,"20200323","00:00",8961,3166,13628,111,5684,315447,338036,324408,"2.7622623363","2020-03-23 10:27:32.32",
83,"20200324","00:00",9037,3507,15440,120,5410,324105,348582,333142,"2.7126570651","2020-03-24 10:09:30.30",
84,"20200324","00:00",9037,3507,15440,120,5410,324105,348582,333142,"2.7126570651","2020-03-24 10:20:57.57","2020-04-07 19:37:58.58"
85,"20200325","00:00",9137,3730,14278,126,5281,334481,357896,343618,"2.6590574416","2020-03-25 10:12:04.04",
86,"20200326","00:00",9241,4144,14369,131,4966,341332,364942,350573,"2.6359702544","2020-03-26 10:40:50.50",
87,"20200327","00:00",9332,4528,15219,139,4665,352410,376961,361742,"2.5797391511","2020-03-27 10:17:01.01",
88,"20200328","00:00",9478,4811,16564,144,4523,361883,387925,371361,"2.5522335409","2020-03-28 10:30:06.06",
89,"20200329","00:00",9583,5033,15028,152,4398,369530,394141,379113,"2.5277423881","2020-03-29 10:10:20.20",
90,"20200330","00:00",9661,5228,13531,158,4275,372002,395194,381663,"2.5312906936","2020-03-30 10:32:34.34",
91,"20200331","00:00",9786,5408,16892,162,4216,383886,410564,393672,"2.4858257635","2020-03-31 11:00:44.44","2020-03-31 11:43:15.15"
