seq,stdDay,gubun,gubunCn,gubunEn,deathCnt,incDec,isolClearCnt,qurRate,defCnt,isolIngCnt,overFlowCnt,localOccCnt,createDt,updateDt,create_date
1,2020년 3월 1일 16시,합계,,,18,586,,,,,,,2020-03-02 19:27:58,,2020-03-02
20,2020년 3월 4일 00시,합계,,,32,516,,10.3,5328,,,,2020-03-04 19:44:27,,2020-03-04
38,2020년 3월 5일 00시,합계,,,35,438,,11.1,5766,,,,2020-03-05 15:29:39,,2020-03-05
56,2020년 3월 6일 00시,합계,,,42,518,,12.1,6284,,,,2020-03-06 15:09:04,,2020-03-06
74,2020년 3월 7일 00시,합계,,,44,483,,12.1,6767,,,,2020-03-07 15:30:00,,2020-03-07
92,2020년 3월 8일 00시,합계,,,50,367,,13.8,7134,,,,2020-03-08 14:56:02,,2020-03-08
110,2020년 3월 9일 00시,합계,,,51,248,166,14.2,7382,,,,2020-03-09 12:54:29,,2020-03-09
128,2020년 3월 10일 00시,합계,,,54,131,247,14.49,7513,,,,2020-03-10 10:58:20,,2020-03-10
146,2020년 3월 11일 00시,합계,,,60,242,288,14.96,7755,,,,2020-03-11 11:00:34,,2020-03-11
164,2020년 3월 12일 00시,합계,,,66,114,333,15.18,7869,,,,2020-03-12 10:42:10,,2020-03-12
182,2020년 3월 13일 00시,합계,,,67,110,510,15.39,7979,,,,2020-03-13 10:45:57,,2020-03-13
200,2020년 3월 14일 00시,합계,,,72,107,714,15.6,8086,,,,2020-03-14 10:34:21,,2020-03-14
218,2020년 3월 15일 00시,합계,,,75,76,834,15.74,8162,,,,2020-03-15 10:34:56,,2020-03-15
236,2020년 3월 16일 00시,합계,,,75,74,1137,15.74,8236,,,,2020-03-16 10:44:17,,2020-03-16
255,2020년 3월 17일 00시,합계,,,81,84,1401,16.05,8320,,,,2020-03-17 10:46:26,,2020-03-17
274,2020년 3월 18일 00시,합계,,,84,93,1540,16.23,8413,,,,2020-03-18 10:28:56,,2020-03-18
293,2020년 3월 19일 00시,합계,合,Total,91,152,1947,16.52,8565,,,,2020-03-19 10:34:03,2020-03-20 10:38:27,2020-03-19
312,2020년 3월 20일 00시,합계,合计,Total,94,87,2233,16.69,8652,,,,2020-03-20 10:38:48,,2020-03-20
331,2020년 3월 21일 00시,합계,合计,Total,102,147,2612,16.97,8799,,,,2020-03-21 10:47:16,,2020-03-21
350,2020년 3월 22일 00시,합계,合计,Total,104,98,2909,17.16,8897,,,,2020-03-22 10:33:31,,2020-03-22
369,2020년 3월 23일 00시,합계,合计,Total,111,64,3166,17.28,8961,,,,2020-03-23 10:30:07,,2020-03-23
388,2020년 3월 24일 00시,합계,合计,Total,120,76,3507,17.43,9037,,,,2020-03-24 10:50:06,,2020-03-24
407,2020년 3월 25일 00시,합계,合计,Total,126,100,3730,17.62,9137,,,,2020-03-25 10:41:04,,2020-03-25
426,2020년 3월 26일 00시,합계,合计,Total,131,104,4144,17.82,9241,,,,2020-03-26 10:50:58,,2020-03-26
445,2020년 3월 27일 00시,합계,合计,Total,139,91,4528,18,9332,,,,2020-03-27 10:39:21,,2020-03-27
464,2020년 03월 28일 00시,합계,合计,Total,144,146,4811,18.28,9478,,,,2020-03-28 10:46:14,,2020-03-28
483,2020년 03월 29일 00시,합계,合计,Total,152,105,5033,18.48,9583,,,,2020-03-29 10:48:02,,2020-03-29
707,2020년 03월 30일 00시,합계,合计,Total,158,78,5228,18.63,9661,,,,2020-03-30 10:29:47,,2020-03-30
726,2020년 03월 31일 00시,합계,合计,Total,162,125,5408,18.87,9786,,,,2020-03-31 10:36:21,,2020-03-31
745,2020년 04월 01일 00시,합계,合计,Total,165,101,5567,19.07,9887,,,,2020-04-01 10:45:19,,2020-04-01
764,2020년 04월 02일 00시,합계,合计,Total,169,89,5828,19.24,9976,,,,2020-04-02 10:42:36,,2020-04-02
783,2020년 04월 03일 00시,합계,合计,Total,174,86,6021,19.41,10062,,,,2020-04-03 10:30:58,,2020-04-03
802,2020년 04월 04일 00시,합계,合计,Total,177,94,6325,19.59,10156,,,,2020-04-04 10:35:58,,2020-04-04
821,2020년 04월 05일 00시,합계,合计,Total,183,81,6463,19.74,10237,,,,2020-04-05 10:55:36,,2020-04-05
840,2020년 04월 06일 00시,합계,合计,Total,186,47,6598,19.84,10284,,,,2020-04-06 10:19:46,,2020-04-06
859,2020년 04월 07일 00시,합계,合计,Total,192,47,6694,19.93,10331,,,,2020-04-07 10:27:25,,2020-04-07
878,2020년 04월 08일 00시,합계,合计,Total,200,53,6776,20.03,10384,,,,2020-04-08 10:21:02,,2020-04-08
916,2020년 4월 08일 00시,합계,合计,Total,204,39,6973,20.1,10423,3246,23,16,2020-04-09 19:39:46,,2020-04-09
939,2020년 4월 09일 00시,합계,合计,Total,204,39,6973,20.1,10423,3246,23,16,2020-04-10 10:51:58,,2020-04-10
1015,2020년 04월 11일 00시,합계,合计,Total,211,30,7243,20.21,10480,3026,12,18,2020-04-11 11:04:48,,2020-04-11
1091,2020년 4월 12일 00시,합계,合计,Total,214,32,7368,20.27,10512,2930,24,8,2020-04-12 11:26:08,,2020-04-12
1110,2020년 04월 13일 00시,합계,合计,Total,217,25,7447,20.32,10537,2873,16,9,2020-04-13 11:11:18,,2020-04-13
1129,2020년 04월 14일 00시,합계,合计,Total,222,27,7534,20.38,10564,2808,12,15,2020-04-14 10:53:12,,2020-04-14
1148,2020년 04월 15일 00시,합계,合计,Total,225,27,7616,20.43,10591,2750,11,16,2020-04-15 10:14:38,,2020-04-15
1186,2020년 04월 16일 00시,합계,合计,Total,229,22,7757,20.47,10613,2627,11,11,2020-04-16 16:16:49,,2020-04-16
1205,2020년 04월 17일 00시,합계,合计,Total,230,22,7829,20.51,10635,2576,14,8,2020-04-17 11:33:23,,2020-04-17
1224,2020년 4월 18일 00시,합계,合计,Total,232,18,7937,20.55,10653,2484,9,9,2020-04-18 10:25:00,,2020-04-18
1243,2020년 04월 19일 00시,합계,合计,Total,234,8,8042,20.56,10661,2385,5,3,2020-04-19 10:41:51,,2020-04-19
1262,2020년 04월 20일 00시,합계,合计,Total,236,13,8114,20.59,10674,2324,7,6,2020-04-20 10:11:46,,2020-04-20
1281,2020년 04월 21일 00시,합계,合计,Total,237,9,8213,20.6,10683,2233,5,4,2020-04-21 10:20:02,,2020-04-21
1300,2020년 04월 22일 00시,합계,合计,Total,238,11,8277,20.63,10694,2179,6,5,2020-04-22 10:14:57,,2020-04-22
1319,2020년 04월 23일 00시,합계,合计,Total,240,8,8411,20.64,10702,2051,4,4,2020-04-23 10:12:35,,2020-04-23
1338,2020년 04월 24일 00시,합계,合计,Total,240,6,8501,20.65,10708,1967,2,4,2020-04-24 10:20:24,,2020-04-24
1357,2020년 4월 25일 00시,합계,合计,Total,240,10,8635,20.67,10718,1843,4,6,2020-04-25 10:38:45,,2020-04-25
1376,2020년 04월 26일 00시,합계,合计,Total,242,10,8717,20.69,10728,1769,9,1,2020-04-26 10:35:38,,2020-04-26
1395,2020년 04월 27일 00시,합계,合计,Total,243,10,8764,20.71,10738,1731,7,3,2020-04-27 10:12:30,,2020-04-27
1414,2020년 04월 28일 00시,합계,合计,Total,244,14,8854,20.74,10752,1654,12,2,2020-04-28 10:19:51,null,2020-04-28
1433,2020년 04월 29일 00시,합계,合计,Total,246,9,8922,20.76,10761,1593,5,4,2020-04-29 10:21:00,null,2020-04-29
1452,2020년 4월 30일 00시,합계,合计,Total,247,4,9059,20.76,10765,1459,4,,2020-04-30 10:27:29,null,2020-04-30
1471,2020년 5월 1일 00시,합계,合计,Total,248,9,9072,20.78,10774,1454,8,1,2020-05-01 10:59:29,null,2020-05-01
1490,2020년 05월 02일 00시,합계,合计,Total,250,6,9123,20.79,10780,1407,6,,2020-05-02 10:33:11,null,2020-05-02
1509,2020년 05월 03일 00시,합계,合计,Total,250,13,9183,20.82,10793,1360,10,3,2020-05-03 10:28:11,null,2020-05-03
