Entity,Code,Day,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces
South Korea,KOR,2020-02-17,-7.333,-2,4,-9,-15,-0.667
South Korea,KOR,2020-02-18,-5.75,-2.25,3.5,-7.5,-12.5,0
South Korea,KOR,2020-02-19,-5.6,-2,3.2,-6.8,-7.2,0.2
South Korea,KOR,2020-02-20,-5.833,-2.167,3,-6.667,-4.833,0.333
South Korea,KOR,2020-02-21,-7.143,-2.429,3.286,-7.143,-5.571,0.286
South Korea,KOR,2020-02-22,-10.286,-3.286,4.143,-9.714,-10.571,-0.429
South Korea,KOR,2020-02-23,-13.143,-5.857,4.714,-11.143,-7.857,-1.286
South Korea,KOR,2020-02-24,-15.143,-4.143,5.143,-12.429,-4.571,-2.143
South Korea,KOR,2020-02-25,-19.714,-5.571,6.286,-15.714,-9.286,-3.857
South Korea,KOR,2020-02-26,-23.143,-6.429,7.286,-18.286,-10.571,-5.571
South Korea,KOR,2020-02-27,-26.429,-7.429,8.286,-20.857,-11.429,-7.143
South Korea,KOR,2020-02-28,-29.571,-9.286,9.429,-23.714,-15.429,-8.857
South Korea,KOR,2020-02-29,-31.286,-9.857,9.857,-24.857,-12.714,-9.714
South Korea,KOR,2020-03-01,-32.714,-8.429,10.286,-26.429,-13.429,-10.714
South Korea,KOR,2020-03-02,-33,-9.429,10.429,-27.143,-12.857,-11
South Korea,KOR,2020-03-03,-31.714,-8.571,10.143,-26.429,-7.143,-10.857
South Korea,KOR,2020-03-04,-31.857,-9,10.286,-26.857,-8.857,-10.857
South Korea,KOR,2020-03-05,-31.571,-9.143,10.286,-27,-9.286,-10.714
South Korea,KOR,2020-03-06,-30.143,-7.857,9.857,-25.857,-3.714,-10.286
South Korea,KOR,2020-03-07,-29.286,-7.429,9.714,-25.429,-4.143,-10
South Korea,KOR,2020-03-08,-27.286,-8.286,9.429,-23.714,3.143,-9.714
South Korea,KOR,2020-03-09,-26.714,-8,9.286,-23.286,4,-9.429
South Korea,KOR,2020-03-10,-27.143,-8.571,9.429,-23.857,-0.857,-9.429
South Korea,KOR,2020-03-11,-26,-7.571,9.143,-22.857,3.429,-9
South Korea,KOR,2020-03-12,-25.286,-6.714,9,-22.143,6.429,-8.714
South Korea,KOR,2020-03-13,-24.857,-6.286,8.857,-21.857,6.571,-8.429
South Korea,KOR,2020-03-14,-23.857,-5.143,8.571,-20.857,9.429,-8
South Korea,KOR,2020-03-15,-24,-3,8.571,-21.571,4.143,-7.714
South Korea,KOR,2020-03-16,-23.714,-3,8.571,-21.429,5.143,-7.714
South Korea,KOR,2020-03-17,-22.571,-2.143,8.143,-20.286,11.429,-7.286
South Korea,KOR,2020-03-18,-22.143,-1.857,8,-20,14.857,-7.143
South Korea,KOR,2020-03-19,-22.857,-3,8.143,-20.714,9.571,-7.143
South Korea,KOR,2020-03-20,-22.286,-2.571,8,-20.286,11.714,-7
South Korea,KOR,2020-03-21,-21.714,-2.143,7.714,-19.714,15.571,-7
South Korea,KOR,2020-03-22,-20.571,-3.429,7.429,-18,23.429,-7
South Korea,KOR,2020-03-23,-20.286,-2.714,7.286,-17.571,26.857,-6.857
South Korea,KOR,2020-03-24,-19.857,-2,7.143,-17,30.857,-6.857
South Korea,KOR,2020-03-25,-19.714,-1.714,7.143,-16.714,32.857,-7
South Korea,KOR,2020-03-26,-19.286,-1,7,-16.143,35.857,-7
South Korea,KOR,2020-03-27,-19.714,-1.286,7.286,-16.571,34,-7.286
South Korea,KOR,2020-03-28,-20,-1.571,7.429,-16.857,31.857,-7.571
South Korea,KOR,2020-03-29,-19.857,1.143,7.286,-16.857,31.714,-7.571
South Korea,KOR,2020-03-30,-19.571,0.857,7.286,-16.714,33.571,-7.714
South Korea,KOR,2020-03-31,-18.857,1.143,7.286,-16.286,35.571,-7.571
South Korea,KOR,2020-04-01,-18.857,1,7.286,-16.429,33.143,-7.571
South Korea,KOR,2020-04-02,-17.857,1.857,7.143,-15.571,39,-7.429
South Korea,KOR,2020-04-03,-17.143,2.571,6.714,-14.571,43.571,-7.143
South Korea,KOR,2020-04-04,-16.571,3,6.571,-14,44.857,-7.286
South Korea,KOR,2020-04-05,-16.286,3.429,6.571,-13.571,44.143,-7.429
South Korea,KOR,2020-04-06,-16.143,3.714,6.429,-13.143,42.429,-7
South Korea,KOR,2020-04-07,-16.286,3.714,6.429,-13.143,40.429,-6.857
South Korea,KOR,2020-04-08,-16,3.714,6.286,-12.857,40.857,-6.571
South Korea,KOR,2020-04-09,-16,3.714,6.143,-12.714,39,-6.286
South Korea,KOR,2020-04-10,-15.714,3.857,6.143,-12.571,37,-6.143
South Korea,KOR,2020-04-11,-15.286,4.571,6,-12.143,35.857,-6
South Korea,KOR,2020-04-12,-15.714,1.143,6.143,-13,30.429,-6
South Korea,KOR,2020-04-13,-15.286,1.714,6.143,-13,30,-6
South Korea,KOR,2020-04-14,-14.143,2.714,5.714,-12.143,31.571,-5.857
South Korea,KOR,2020-04-15,-12.286,6,7.286,-12.571,42.571,-12.143
South Korea,KOR,2020-04-16,-12.143,6,7.286,-12.429,42.857,-12.143
South Korea,KOR,2020-04-17,-13.143,4.714,7.571,-13.571,37,-12.286
South Korea,KOR,2020-04-18,-12.714,4.429,7.571,-13.143,40.286,-11.857
South Korea,KOR,2020-04-19,-13.286,6,7.571,-13.714,36.286,-11.714
South Korea,KOR,2020-04-20,-13.714,5.286,7.571,-14,32.571,-11.571
South Korea,KOR,2020-04-21,-15,3.857,7.857,-15,26.143,-11.429
South Korea,KOR,2020-04-22,-17.143,0.143,6.286,-14.857,9.286,-4.857
South Korea,KOR,2020-04-23,-17,0.143,6.143,-15,6,-4.571
South Korea,KOR,2020-04-24,-15.714,1.429,5.714,-13.571,10.143,-4
South Korea,KOR,2020-04-25,-15.571,1.571,5.571,-13.571,7.429,-4
South Korea,KOR,2020-04-26,-13,1.571,5,-10.857,18.286,-3.429
South Korea,KOR,2020-04-27,-12.143,2.429,4.714,-10.143,21.286,-3.286
South Korea,KOR,2020-04-28,-11,3.714,4.286,-9,26.286,-3.143
South Korea,KOR,2020-04-29,-8.714,6.571,3.143,-6.571,34.286,-3
South Korea,KOR,2020-04-30,-5.571,11,4,-5.429,55.429,-10.429
South Korea,KOR,2020-05-01,-3.571,13.857,5,-5.429,71.571,-16.714
South Korea,KOR,2020-05-02,-3.143,14,4.571,-4.571,77.143,-18.286
South Korea,KOR,2020-05-03,-3,16.571,4.286,-4.143,74.714,-18.429
South Korea,KOR,2020-05-04,0,19.286,4.429,-3.143,82.571,-20.857
South Korea,KOR,2020-05-05,2.571,21.429,6.286,-4.714,93,-28.714
South Korea,KOR,2020-05-06,1.429,20.286,7,-5.571,91,-28.429
South Korea,KOR,2020-05-07,-0.429,17.143,5.714,-5.286,73.571,-20.857
South Korea,KOR,2020-05-08,-1.143,15.143,4.286,-4,58.714,-14.429
South Korea,KOR,2020-05-09,-2.429,13.429,5,-6.286,45,-13.286
South Korea,KOR,2020-05-10,-2.571,10.857,5.286,-6.571,44.286,-12.714
South Korea,KOR,2020-05-11,-5.143,8.571,5,-7,37,-10.143
South Korea,KOR,2020-05-12,-7.571,6.286,3.286,-5.429,25.714,-2.286
South Korea,KOR,2020-05-13,-7.143,6.143,3.286,-5.429,27.143,-2.429
South Korea,KOR,2020-05-14,-7.286,6.143,3.286,-5.714,28,-2.571
South Korea,KOR,2020-05-15,-9,4.571,3.571,-7.714,22,-3.143
South Korea,KOR,2020-05-16,-7.571,6.571,3.143,-6,30.857,-2.714
South Korea,KOR,2020-05-17,-6.857,10,3,-5.714,34,-2.571
South Korea,KOR,2020-05-18,-7.714,8.571,3.286,-6.714,29.429,-2.857
South Korea,KOR,2020-05-19,-8,8.571,3.429,-7.429,26.429,-3
South Korea,KOR,2020-05-20,-7.571,9.143,3.286,-7.286,26.571,-3.143
South Korea,KOR,2020-05-21,-7.143,9.143,3.286,-7.143,26.857,-3.143
South Korea,KOR,2020-05-22,-5.714,10.714,3,-5.571,35,-2.714
South Korea,KOR,2020-05-23,-5,11,2.714,-4.714,39.143,-2.429
South Korea,KOR,2020-05-24,-5.286,8,2.857,-5.143,37.143,-2.714
South Korea,KOR,2020-05-25,-3.857,10,2.571,-4,43.571,-2.571
South Korea,KOR,2020-05-26,-3.429,10.143,2.286,-3.286,46.143,-2.429
South Korea,KOR,2020-05-27,-3.286,10,2.143,-3.143,46.857,-2.286
South Korea,KOR,2020-05-28,-3.571,10,2.143,-3.143,46.714,-2.143
South Korea,KOR,2020-05-29,-3.571,10.143,2,-3,47.429,-2
South Korea,KOR,2020-05-30,-4.143,9.714,2,-3.429,46.286,-2.143
South Korea,KOR,2020-05-31,-4.143,12.143,1.857,-3.286,46.571,-1.857
South Korea,KOR,2020-06-01,-4.286,11.857,1.714,-3.286,46.429,-1.714
South Korea,KOR,2020-06-02,-4.714,11.714,1.714,-3.429,46,-1.571
South Korea,KOR,2020-06-03,-5.143,11.714,1.857,-3.571,44.571,-1.429
South Korea,KOR,2020-06-04,-5.286,11.571,1.857,-3.571,43.429,-1.286
South Korea,KOR,2020-06-05,-5.143,11.714,1.857,-3.429,43.143,-1.429
South Korea,KOR,2020-06-06,-5.143,12,2,-3.714,43.429,-3.143
South Korea,KOR,2020-06-07,-5,12.429,1.857,-3.571,43.857,-3.286
South Korea,KOR,2020-06-08,-5.143,12.286,1.714,-3.571,42.857,-3.143
South Korea,KOR,2020-06-09,-4.571,12.571,1.571,-3.286,43.857,-3
South Korea,KOR,2020-06-10,-5,11.571,1.571,-3.571,39.857,-3
South Korea,KOR,2020-06-11,-4.714,11.714,1.571,-3.857,39.143,-3
South Korea,KOR,2020-06-12,-4.857,11.286,1.571,-4.286,37.429,-2.857
South Korea,KOR,2020-06-13,-4.714,10.857,1.714,-4.857,32.286,-1.571
South Korea,KOR,2020-06-14,-5,7.429,2,-5.714,29.571,-1.857
South Korea,KOR,2020-06-15,-4.571,7.857,2,-5.714,30.429,-1.714
South Korea,KOR,2020-06-16,-4.429,8,2,-5.571,31.429,-1.571
South Korea,KOR,2020-06-17,-3.857,8.857,1.857,-5.286,35.143,-1.429
South Korea,KOR,2020-06-18,-4.286,8,1.857,-5.571,33.429,-1.429
South Korea,KOR,2020-06-19,-4.143,8.286,1.714,-5.286,35,-1.429
South Korea,KOR,2020-06-20,-4,8.286,1.286,-4.429,39.429,-1.286
South Korea,KOR,2020-06-21,-3.857,11.143,1,-3.714,41.571,-1.143
South Korea,KOR,2020-06-22,-4.286,10.429,1,-3.857,40.714,-1.429
