code,province,date,avg_temp,min_temp,max_temp,max_wind_speed,avg_relative_humidity,avg_rain,sum_sunshine
0,전국,2020-01-01,-0.9,-11.5,9.6,9.7,63,0,5
0,전국,2020-01-02,1.6,-9.9,12.7,9.5,69,0,5
0,전국,2020-01-03,2.1,-8.8,13.4,11,65,0,8
0,전국,2020-01-04,1.6,-9.9,14,9.8,65,0,7.3
0,전국,2020-01-05,1.5,-4.5,13.5,7.8,61,0,7.8
0,전국,2020-01-06,3.5,-9.7,18.9,15.6,82,10,0
0,전국,2020-01-07,8.8,0.3,23.6,26.6,95,41.8,0
0,전국,2020-01-08,5.4,-1.8,17.4,25.9,78,4.5,1.7
0,전국,2020-01-09,1.9,진주,9.8,13.1,66,0,7
0,전국,2020-01-10,1,-10.4,13.1,9.7,68,0,8.2
0,전국,2020-01-11,1.9,-7.3,11.5,11,64,0,8.1
0,전국,2020-01-12,1.7,-7.5,9.8,16.2,60,0,6
0,전국,2020-01-13,0.4,-9.6,10.6,13.9,57,0,7.1
0,전국,2020-01-14,-0.2,-13.5,7.9,10.5,56,0,6.1
0,전국,2020-01-15,-0.8,-13.6,9.3,12.4,58,0,8.2
0,전국,2020-01-16,-0.3,-13.9,10.3,9.9,53,0,7.2
0,전국,2020-01-17,0.8,-12.2,12.7,13.1,56,0.3,5.8
0,전국,2020-01-18,1.4,-9.2,11.8,15.1,60,0.8,6.2
0,전국,2020-01-19,2.3,-2.3,10.5,14.9,65,0.1,3.7
0,전국,2020-01-20,2.6,-7.3,11.9,13.4,56,0,7.8
0,전국,2020-01-21,0.6,-14.2,11.8,11.9,50,0,9.2
0,전국,2020-01-22,3.2,-5.1,14.5,10,67,4.2,0.6
0,전국,2020-01-23,5.4,-6.1,14.8,12,78,2.1,4.7
0,전국,2020-01-24,4.5,-8.2,15.9,10.6,74,1.3,6.6
0,전국,2020-01-25,5,-5.2,14.4,7.8,78,0.1,1.4
0,전국,2020-01-26,6.1,-5.4,13.8,12.4,72,0.6,3.6
0,전국,2020-01-27,5.9,-1.7,11.5,15.3,77,15.2,0
0,전국,2020-01-28,6.6,-2.4,14,14.9,74,0.9,1.7
0,전국,2020-01-29,5.7,-4.4,13.9,14.6,73,0.6,2.4
0,전국,2020-01-30,4.6,-5,12.9,18,71,0.9,4.2
0,전국,2020-01-31,3.2,-11.2,11.5,14.6,72,0,4.9
0,전국,2020-02-01,2.6,-6.8,12.8,12.5,72,0,6.5
0,전국,2020-02-02,2.5,-11.2,12.8,9.5,65,0,7.6
0,전국,2020-02-03,1.6,-9.7,13.7,13.1,55,0,8.4
0,전국,2020-02-04,0.5,-18.6,12.2,13.4,55,0.3,8.9
0,전국,2020-02-05,-3.3,-18.9,8.9,14.7,42,0,9.7
0,전국,2020-02-06,-3.9,-24,9.6,10,49,0,8.3
0,전국,2020-02-07,-0.2,-12.4,11.8,11.1,53,0,7.2
0,전국,2020-02-08,1.6,-9.7,11.3,16.5,55,0.2,8.6
0,전국,2020-02-09,0.5,-16.8,10.4,14.6,56,0.1,9.5
0,전국,2020-02-10,4.1,-8.4,15.9,13.9,59,0,9
0,전국,2020-02-11,5.7,-12.7,16.6,9.4,58,0.1,7.9
0,전국,2020-02-12,7.8,-0.9,17.4,12.4,88,12.6,0
0,전국,2020-02-13,8.3,-2.2,18.1,10,83,0.1,4.8
0,전국,2020-02-14,8,-3.6,20.2,7,77,0,7.9
0,전국,2020-02-15,9.6,-1.2,21.6,15.4,77,1.5,4.2
0,전국,2020-02-16,2,-9,15.6,22.8,76,6.5,2.9
0,전국,2020-02-17,-2.8,-12.4,4.9,26.8,65,1,5
0,전국,2020-02-18,-1.4,-13.9,10,22.5,55,0,10.1
0,전국,2020-02-19,2.4,-10.7,13.5,10,61,0,8.4
0,전국,2020-02-20,5,-7.3,15.6,6.8,65,0,9.7
0,전국,2020-02-21,7.1,-5.1,17.1,15.3,69,1.6,5.4
0,전국,2020-02-22,6.4,-5,14.8,16.6,57,1.6,8.3
0,전국,2020-02-23,3.5,-7.3,13.1,12.4,51,0,10.4
0,전국,2020-02-24,7.2,-6.4,19.3,10.1,55,0.2,8.2
0,전국,2020-02-25,7.5,-0.4,21.8,13.6,91,28.1,0.2
0,전국,2020-02-26,7,-2.5,16.1,11.4,79,1.5,4
