,period,제주도항공권,에버랜드자유이용권,롯데월드자유이용권,경주월드자유이용권,우도여행,아쿠아플라넷,파라다이스시티호텔,글램핑,리솜리조트,쏠비치리조트,제주도호텔,제주도한달살기,캠핑장,파티룸,세부,보라카이,크루즈여행,휴대용와이파이,해외유심,중국유심,선불유심,미국유심,일본유심,베트남유심,팔라우,대마도,유럽여행,사이판,괌,코타키나발루,스위스,신혼여행,발리,하와이,아르헨티나,패러글라이딩,족구레슨,서핑강습,숏게임레슨,테니스레슨,야구레슨,축구레슨,볼링강습,스키레슨,헬스장,pt,필라테스,요가,크라이오테라피,크로스핏,홈트,차상명공기업법학,전수환경영학,지한송재무관리,황정빈경제학,러닝온,로보로보,차상명법학,이종하회계학,최재형회계학,오라소마,어른학습지,강의,펫푸드스타일리스트,앤서니타로,아로마인사이트카드,난타자격증,마크라메,터프팅,천연펄프점토,우드썸,웜아트,라탄원데이클래스,실크플라워,디핑캔들,도자기크레파스,스와로브스키주판알,국제바리스타,로스팅자격증,커피수업,sca디플로마,마카롱창업반,커피센서리,로스팅교육,수제청클래스,sca브루잉,sca센서리,화상영어추천,화상영어,전화영어,원어민화상영어,어린이화상영어,초등화상영어,영어화상수업,전화중국어,필리핀화상영어,성인화상영어,데일리메이크업,헤어커트배우기,메이크업진단,메이크업레슨,메이크업수업,펄스널컬러진단,메이크업클래스,퍼스널컬러진단키트,속눈썹펌수강,1:1메이크업,발레레슨,댄스학원,방송댄스,댄스원데이클래스,한국무용취미,다이어트댄스,라틴댄스,성인발레,춤원데이클래스,1대1댄스,힙합댄스,키즈댄스학원,스트릿댄스,피아노레슨,셀프녹음실,보컬레슨,바이올린학원,피아노온라인수업,실용음악학원,우쿨렐레수업,판소리배우기,음악학원,하프레슨,가야금,미디레슨,백드롭페인팅,아이패드드로잉클래스,유화원데이클래스,포슬린아트,서양자수,시화제작,오일파스텔원데이,꽃꽂이클래스,로고디자인,프로크리에이트수업,민화강습,pop글씨자격증,캐리커쳐수업
0,2019-02-01,54.2199,6.04391,14.67942,2.37051,0.80776,2.65725,1.76801,17.88059,5.54509,0.33536,44.09102,10.42424,6.05403,9.05279,36.30879,63.042449999999995,27.30935,5.39993,3.8739,6.64768,22.89691,22.65956,81.23392,38.73107,39.13593,10.56447,4.23975,14.634619999999998,40.39946,45.84015,12.93401,2.86525,36.6284,42.77314,9.18216,10.10535,1.33159,1.47633,0.03618,26.42567,51.32821,52.39079,100.0,14.492320000000001,19.87018,4.13654,34.49677,10.9813,26.81888,55.01737,12.03655,0.0,48.3125,1.21731,0.0,0.0,3.40333,0.0,0.0,0.01255,8.38996,3.31068,65.95225,6.67363,0.0,0.06652,0.14635,36.80503,0.0,0.0,7.10188,0.0,1.3844,75.61144,0.64605,0.0,0.0,9.5492,7.07707,11.63354,10.91431,79.03303,2.48922,5.26567,19.60931,0.9015699999999999,1.2021,52.14124,37.58547,77.50468,13.65682,8.19604,52.46934,1.8051699999999997,52.74182,12.68732,29.26776,95.64097,0.0,0.7945,77.51164,11.61011,4.89021,46.93945,2.91545,34.98542,3.20699,31.48688,79.33515,27.26328,0.2924,1.69289,42.68364,30.41074,71.31714,0.0,0.05116,38.38518,13.21121,44.5354,71.51341,20.43554,44.69863,66.34403,0.0,75.43708,0.0,5.87761,14.25717,0.26303,28.12484,1.74262,0.0,0.41026,1.25424,18.00492,14.68359,0.12287,0.0,79.84845,68.06644,0.0,0.0,0.0,0.0
1,2019-05-01,51.73899,11.19207,7.74503,2.22,0.86549,1.9172399999999998,1.78457,37.92612,5.8819,0.35788,47.75853,10.84968,24.93895,6.74046,35.1665,63.17409,100.0,5.82033,3.57568,7.4461,24.0639,29.974889999999995,76.75009,44.34537,4.57313,8.18316,3.9187799999999995,15.23187,33.07527,61.10778,13.64972,2.71526,40.83956,27.00026,12.71158,9.11598,2.69214,7.7001,0.90461,32.72543,61.18654,40.67296,45.7497,0.0,19.52003,4.78409,35.86811,10.81152,26.50498,58.28595000000001,14.33885,0.0,44.61548,3.47159,0.45729,0.0,16.02895,0.0,0.00255,0.00837,9.27861,0.19167,78.18435,6.1596,0.00532,0.07539,0.11530000000000001,48.45041,0.16388,0.0,0.62824,0.0,7.17581,59.621590000000005,0.23072999999999996,0.0,0.0,21.13427,6.01066,76.34512,8.95165,66.3954,2.92005,3.78171,23.14049,1.72802,0.82644,57.17505,34.42678,71.70564,12.98274,6.97199,43.51158,1.17506,56.48841,9.9455,28.49473,74.31823,0.0,0.0,63.17365,9.38123,5.05655,30.738519999999998,1.74927,100.0,3.20699,12.53644,78.25016,29.648719999999997,0.18083,0.56558,65.48183,35.25868,90.8669,0.0,0.0,100.0,11.20548,24.3246,57.52309000000001,17.57589,56.70919,80.62032,0.0,79.48585,0.0,7.45341,11.82659,0.33385,42.1822,1.48211,0.0,1.52385,1.7114,18.76685,12.71759,0.14335,0.0,80.77001,93.85964,0.0,0.0,0.0,0.00273
2,2019-07-01,54.56153,6.26919,10.50588,1.33245,1.03976,3.02497,3.47787,39.99869,10.16361,0.6372,63.18457,8.07521,20.91959,8.92194,44.9892,100.0,21.80619,4.65038,5.26328,9.27932,24.81399,38.73564,70.7828,64.06846,36.35539,6.58004,3.72823,18.51879,41.12414,85.18293,19.10806,2.36084,45.18479,44.52947,13.63136,11.01093,1.57765,45.57461,0.50296,32.31292,51.44628,59.85831999999999,55.0177,0.0,24.86275,5.34695,43.15485,12.97459,37.1463,65.97482,14.679559999999999,0.0,48.1064,5.55841,0.2383,0.0,31.454290000000004,0.0,0.00162,0.02301,11.57867,0.59243,69.86408,6.91758,0.01507,0.058539999999999995,0.13659,100.0,0.0,0.0,0.9560200000000001,0.0,6.50669,49.70004,0.0,0.0,0.0,15.414439999999999,5.08967,33.73727,7.65916,40.35423,3.73384,2.53709,19.68444,1.80315,0.45078,57.32531,36.44172,74.20485,10.85099,6.42688,32.76566,1.07288,64.91825,7.47615,23.27678,59.00794,0.0,0.0,66.63339,9.9135,0.6986,35.7618,0.0,50.14577,13.41107,11.07871,88.17667,29.483279999999997,0.31164,0.71947,59.22195,33.16548,84.20221,0.06911,0.0,36.68645,8.48342,17.18174,64.76022,16.56401,47.69027,81.01627,0.0,85.01265,0.02875,8.31032,12.1301,0.47296,100.0,1.9702500000000003,0.0,1.39491,3.14148,21.07607,13.02477,0.51198,0.10239,32.39811,84.92907,0.0,0.0,0.0,0.0
3,2019-08-01,51.85348,6.63483,8.98826,1.48042,1.05349,3.02867,2.79427,34.36242,7.645940000000001,0.64774,56.72775,8.99317,18.14458,8.71913,39.71056,72.89551,19.37602,4.42247,4.30129,8.77115,24.84594,34.36591,32.34842,68.33016,8.11683,11.9338,3.69856,19.49742,39.09035,70.0451,16.48716,2.37803,42.41182,54.73084,16.73441,11.47167,1.23751,56.05731,0.28947,34.19452,47.28453,40.28925,49.02597,0.9740199999999999,23.73049,4.79506,44.52542,13.66123,28.62185,65.08003,13.58817,0.0,48.84709,6.22826,0.6634,0.0,20.80157,0.0,0.00372,0.01557,10.31538,0.34849,67.65987,7.12667,0.01773,0.08603,0.12595,40.59517,0.13657,0.0,1.09259,0.0,8.51407,45.59298,0.23072999999999996,0.0,0.29083,14.00872,6.10761,32.28308,5.88798,36.09382,4.64337,6.36668,30.12772,1.42749,0.0,48.4598,37.0136,68.21843,10.94103,6.41958,32.20367,1.22615,58.22547,9.38351,22.07429,77.23856,0.0,0.0,46.44045,11.84298,0.33266,41.01796,1.45772,25.65597,9.62099,11.37026,77.69997,24.95479,0.36166,0.85414,49.52606,32.16824,77.6165,0.0,0.0,54.02169,8.29922,18.80884,64.1223,13.90233,59.81081999999999,91.04707,0.0,78.27812,0.09201,8.00552,11.95558,0.43502,32.01224,2.13212,0.0,3.50486,10.59664,17.95803,12.7995,0.40958,0.10239,60.04505000000001,81.25233,0.0,0.0,0.0,0.00601
4,2019-12-01,55.9135,4.18857,11.24312,1.61356,0.63109,2.27341,2.02267,27.99333,5.87327,0.50928,58.79889,9.75637,7.90657,35.24684,48.99365,92.56028,25.60779,4.42247,5.12514,10.60587,27.26055,41.77405,40.16127,74.10117,5.50813,4.33061,3.90355,18.13944,46.0012,80.34101,17.11704,2.81171,44.6911,36.8849,11.04672,6.48702,0.74902,3.41221,0.01809,25.50296,45.95631,35.65525,48.31759,22.34356,30.20412,5.38449,42.49247,13.28028,24.60259,72.3433,11.39534,0.0,66.81695,7.32964,1.53935,0.0,12.80511,0.0,0.04441,0.01906,8.64262,0.88865,66.80606,6.74333,0.0,0.16498,0.20755,51.0227,0.3824,0.0,0.49166000000000004,0.65555,10.75219,56.52976,0.78449,0.32302,0.0,19.14687,7.17401,6.01066,8.47295,28.24317,7.65916,4.35615,34.18482,0.9015699999999999,0.0,60.18030999999999,44.1024,69.47168,13.60085,8.61217,52.82697,1.20912,52.55449,10.1158,30.06227,89.77882,0.0,0.10736,63.97205000000001,13.10711,7.252159999999999,66.833,0.0,34.69387,0.0,8.16326,90.00038,29.344770000000004,0.65022,8.36828,39.6327,33.88625,71.0703,0.0,0.05116,39.75644,9.39418,28.20302,63.77033999999999,16.82798,67.79586,86.6476,0.0,90.41292,0.02875,8.35058,14.37351,0.37179,39.32166,1.63387,0.0,2.97737,9.63544,19.50533,14.765509999999999,0.22527000000000003,0.30718,89.47368,78.21948,0.0,0.0,0.0,0.0
5,2020-01-01,53.34084,5.63005,13.44165,2.32698,0.65396,2.20326,1.67107,24.72132,5.15127,0.82069,56.34159,10.01796,7.57448,14.14327,59.843239999999994,86.34268,27.16024,5.02092,6.24223,7.313939999999999,28.38645,39.56485,47.68809,71.05058,5.59763,3.49812,4.7504,22.43369,51.43113,89.13028,20.72821,3.47808,53.11654,35.65721,14.517910000000002,7.02702,1.00955,2.24345,0.04342,30.691850000000002,46.28099,39.58087,55.10625,20.95631,36.56687,5.40489,48.94416,15.437379999999997,19.05405,72.73316,15.25374,0.0,86.27463,9.79647,3.29125,0.0,9.53733,0.00279,0.04301,0.04324,9.51385,0.82767,66.73636,7.492589999999999,0.01153,0.15699,0.23681999999999997,38.55951,0.13657,0.0,0.16388,0.0,31.172119999999996,74.06552,0.0,0.13844,0.48473,16.72321,7.3194300000000005,5.5744,8.18573,29.775009999999998,8.37721,4.1168,66.26596,2.32907,0.0,83.47107,49.61915,84.22845,15.077989999999998,9.24975,47.82016,1.10694,66.62125,11.1376,34.4213,100.0,0.10736,0.73008,87.42514,16.33399,1.23087,62.94078,0.0,31.778419999999997,13.70262,18.65889,98.40329,28.25208,0.84644,8.03739,44.26342,28.830960000000005,81.64494,0.0,0.0,40.46254,10.34588,20.01637,71.16146,16.08007,64.54025,83.72195,0.0,93.86933,0.08051,17.55808,16.04532,0.30856,31.73908,1.13561,0.0,10.99519,8.95557,21.627,10.66967,0.0,0.73725,89.02314,83.59462,0.0,0.0,0.04665,0.00874
6,2020-02-01,97.30063,3.98632,4.37724,1.24226,0.54351,1.05218,0.93258,23.64887,3.5970699999999995,0.68271,44.44699,7.50748,9.47464,12.0102,25.3226,42.3542,41.78465,4.19257,2.43216,0.6503,27.63484,21.86686,21.7847,21.38759,58.27882,2.31284,4.0555,61.93733,34.73266,46.35233,30.20568,4.11992,45.41061,31.504559999999998,100.0,6.90942,0.82862,2.34476,0.16283,27.95628,49.46871,41.02715,38.93152,5.25383,32.57259,4.76946,39.97289,12.61289,14.36007,85.40309,22.13943,0.0,92.68968,9.23612,3.49091,0.0,6.78876,0.0079,0.04696,0.02441,8.45094,1.28942,66.35302,7.82366,0.0,0.10821,0.09402,38.32446,2.86806,0.0,1.31111,0.21851,27.80341,81.05676,0.2538,0.0,0.58167,19.43771,11.8759,6.34997,8.42508,23.31258,9.23887,8.85591,74.45529,1.57776,0.9015699999999999,71.75056,51.08655,76.54588,13.97561,9.89219,53.42302,2.1628,63.74318,11.80177,28.94567,67.42538,0.2362,0.53682,82.23552,15.435790000000003,3.32667,57.18562,3.79008,38.19241,1.45772,10.78717,91.7356,26.42837,1.2889,5.06713,44.68799,26.4218,67.4368,0.20734,0.0,42.76504,8.96438,13.41588,66.78398,18.3018,67.68587,68.14782,0.0,79.67563,0.12652,10.36346,12.65617,2.58485,31.501340000000003,1.2039,0.0,15.47298,6.59946,22.76403,13.14765,0.0,1.00348,85.19352,84.62112,0.0,0.0,0.04665,0.01748
7,2020-03-01,67.07327,5.80867,2.70141,0.75607,0.58033,0.73456,0.81408,44.67971,3.26554,0.58641,44.81973,11.11654,32.789,9.12188,11.60327,16.1434,10.05081,4.71072,0.47675,1.13254,28.50817,4.77291,4.58425,1.97489,2.87149,3.18063,2.59163,8.4284,17.62743,12.11885,24.81628,2.74382,30.30754,24.25285,70.2046,7.09775,1.39311,3.02865,0.59342,22.45983,41.76505,42.85714,31.37544,0.35419,57.4182,4.70517,48.06137,9.84827,10.96862,60.52345999999999,44.3012,0.0268,100.0,13.86062,6.61471,0.0,7.977849999999999,0.04534,0.059980000000000006,0.0379,7.37933,1.02805,100.0,8.31155,0.0,0.11176,0.02128,53.72982,2.86806,0.0,2.07593,0.13657,47.92339,94.32395,0.5999,0.0,1.55113,19.43771,9.45225,3.92632,3.97319,22.4988,1.96266,4.54763,47.48309,1.80315,1.27723,97.145,69.82211,80.35188,12.77589,23.3519,100.0,23.19482,61.83583,19.39713,37.72815,60.96199,0.0,0.0,46.64005,8.21689,2.42847,38.88888,16.61807,29.44606,0.0,28.57142,72.85983,16.84813,1.02727,4.28225,41.25197,18.04897,60.98933000000001,0.11848,0.0,49.4474,6.29349,16.47564,63.46238,17.00395,45.57853,64.29828,0.35081,69.51345,0.0,6.29169,10.39,2.01831,32.15387,1.05973,0.41026,16.45762,9.29551,19.15367,16.38337,0.10239,2.5599,83.18656,97.93766,0.0,0.0,0.05599,0.0
8,2020-04-01,59.80203,6.10072,2.36046,2.10882,0.69775,0.95393,0.96352,99.21554,4.848,0.65971,48.19163,11.73505,84.71835,9.94883,5.45711,8.18868,8.00414,5.36652,0.21444,0.54009,24.30429,1.32065,1.00418,1.67516,2.19279,2.26271,1.30348,3.28498,8.03362,6.73648,13.33927,2.17495,15.267249999999999,13.36009,30.9302,9.24352,1.24475,4.85598,1.24475,29.75828,45.72018,40.3778,30.96221,0.17709,36.20556,5.33136,43.50673,11.08659,14.561149999999998,60.89545,39.95799,0.03351,70.51397,10.13783,7.54862,0.0,22.92909,0.02278,0.06626,0.02325,7.02212,1.8644300000000003,89.82401,10.35894,0.0,0.1091,0.01596,52.11282,1.9120400000000002,0.0,1.93936,0.0,30.249190000000002,100.0,0.27688,0.0,1.2603,58.70092,8.48279,3.587,5.74437,23.21685,0.90952,5.31354,28.02404,1.35236,1.27723,88.12922,58.00500999999999,65.20331,11.4764,15.939450000000003,87.87465,32.11852,55.3985,15.07152,31.71569,48.85119,0.12883,0.21473,37.35861,7.751159999999999,1.2974,36.12774,6.70553,27.98833,0.0,25.07288,72.15574,18.77957,0.88876,2.70862,34.40955,17.41706,56.9214,0.0,0.0,45.98853,6.58002,22.7896,72.21733,13.00043,43.73075,61.06467,0.46008,82.18311,0.04025,8.75891,12.43107,0.35156,45.48535,1.19125,0.17582,10.13949,11.44062,19.58738,13.80298,0.40958,1.39258,98.38214,89.57633,0.0,0.0,0.0,0.0
9,2020-05-01,70.53163,5.534,2.75119,2.60292,0.9354199999999999,1.42251,1.02604,86.20875,6.39789,1.08995,69.21691,11.71637,64.46817,11.17304,4.98946,8.08557,6.56539,4.40751,0.23437999999999998,0.82584,22.85888,1.7771,0.9402800000000001,1.72232,3.9638700000000004,2.20666,1.56268,3.18742,7.15012,6.18362,9.70327,2.15193,33.70062,12.47099,15.80554,22.80217,1.8852199999999997,6.40107,1.53061,57.45766,62.24911,43.06375,33.73671,0.44273,42.71557,6.27189,51.81619,13.90801,13.75015,82.07866,31.22465,0.01787,63.69315,10.20224,8.54051,0.0,100.0,0.04069,0.09812,0.03138,9.01725,1.03676,69.97734,11.1082,0.0,0.17207,0.02749,46.51587,3.76946,0.13657,0.13657,0.51898,34.12551,82.62574,0.41532,0.18458,1.69655,100.0,10.66408,6.73776,6.41455,28.865479999999998,3.92532,6.41455,42.37415,1.57776,0.37565,89.0308,50.80183,56.37943,8.39072,10.44946,61.8188,27.53746,53.64441,14.52656,29.053030000000003,48.03521,0.15031,0.12883,38.09048,9.68063,4.12508,36.02794,15.45189,25.94752,3.79008,14.577250000000001,89.51944,19.67219,0.81181,3.02412,38.22077,16.55805,68.23657,0.0,0.0,47.3291,11.02128,21.90953,61.922560000000004,13.85833,42.58688,78.3326,0.10927,88.52657,0.08626,6.64251,14.747830000000002,0.25797,50.09358,1.05721,0.12894,13.0817,11.03035,17.37193,11.79602,0.0,1.06491,97.78824,91.32138,0.0,0.0,0.0,0.0
